datetime,count,is_peak
1970-01-03 08:00:00,6455051,Peak
1970-01-03 09:00:00,6585239,Peak
1970-01-04 00:00:00,6118212,Peak
1970-01-04 01:00:00,6514106,Peak
1970-01-04 10:00:00,6181555,Peak
1970-01-05 19:00:00,6181669,Peak
1970-01-05 20:00:00,6607618,Peak
1970-01-05 21:00:00,6107363,Peak
1970-01-06 11:00:00,7238445,Peak
1970-01-06 12:00:00,7476862,Peak
1970-01-06 13:00:00,7398116,Peak
1970-01-06 14:00:00,7945132,Peak
1970-01-06 15:00:00,7643258,Peak
1970-01-06 16:00:00,8290689,Peak
1970-01-06 17:00:00,6222600,Peak
1970-01-06 20:00:00,6032751,Peak
1970-01-07 10:00:00,8432020,Peak
1970-01-07 20:00:00,7867828,Peak
